gre_score,toefl_score,univ_ranking,motiv_letter_strength,recommendation_strength,gpa,research_exp,admission_score
337,118,4,4.5,4.5,9.65,1,92
324,107,4,4.0,4.5,8.87,1,76
316,104,3,3.0,3.5,8.0,1,72
322,110,3,3.5,2.5,8.67,1,80
314,103,2,2.0,3.0,8.21,0,65
330,115,5,4.5,3.0,9.34,1,90
321,109,3,3.0,4.0,8.2,1,75
308,101,2,3.0,4.0,7.9,0,68
302,102,1,2.0,1.5,8.0,0,50
323,108,3,3.5,3.0,8.6,0,45
325,106,3,3.5,4.0,8.4,1,52
327,111,4,4.0,4.5,9.0,1,84
328,112,4,4.0,4.5,9.1,1,78
307,109,3,4.0,3.0,8.0,1,62
311,104,3,3.5,2.0,8.2,1,61
314,105,3,3.5,2.5,8.3,0,54
317,107,3,4.0,3.0,8.7,0,66
319,106,3,4.0,3.0,8.0,1,65
318,110,3,4.0,3.0,8.8,0,63
303,102,3,3.5,3.0,8.5,0,62
312,107,3,3.0,2.0,7.9,1,64
325,114,4,3.0,2.0,8.4,0,70
328,116,5,5.0,5.0,9.5,1,94
334,119,5,5.0,4.5,9.7,1,95
336,119,5,4.0,3.5,9.8,1,97
340,120,5,4.5,4.5,9.6,1,94
322,109,5,4.5,3.5,8.8,0,76
298,98,2,1.5,2.5,7.5,1,44
295,93,1,2.0,2.0,7.2,0,46
310,99,2,1.5,2.0,7.3,0,54
300,97,2,3.0,3.0,8.1,1,65
327,103,3,4.0,4.0,8.3,1,74
338,118,4,3.0,4.5,9.4,1,91
340,114,5,4.0,4.0,9.6,1,90
331,112,5,4.0,5.0,9.8,1,94
320,110,5,5.0,5.0,9.2,1,88
299,106,2,4.0,4.0,8.4,0,64
300,105,1,1.0,2.0,7.8,0,57
304,105,1,3.0,1.5,7.5,0,52
307,108,2,4.0,3.5,7.7,0,48
308,110,3,3.5,3.0,8.0,1,46
316,105,2,2.5,2.5,8.2,1,49
313,107,2,2.5,2.0,8.5,1,53
332,117,4,4.5,4.0,9.1,0,87
326,113,5,4.5,4.0,9.4,1,91
322,110,5,5.0,4.0,9.1,1,88
329,114,5,4.0,5.0,9.3,1,86
339,119,5,4.5,4.0,9.7,0,89
321,110,3,3.5,5.0,8.85,1,82
327,111,4,3.0,4.0,8.4,1,78
313,98,3,2.5,4.5,8.3,1,76
312,100,2,1.5,3.5,7.9,1,56
334,116,4,4.0,3.0,8.0,1,78
324,112,4,4.0,2.5,8.1,1,72
322,110,3,3.0,3.5,8.0,0,70
320,103,3,3.0,3.0,7.7,0,64
316,102,3,2.0,3.0,7.4,0,64
298,99,2,4.0,2.0,7.6,0,46
300,99,1,3.0,2.0,6.8,1,36
311,104,2,2.0,2.0,8.3,0,42
309,100,2,3.0,3.0,8.1,0,48
307,101,3,4.0,3.0,8.2,0,47
